2017-10-10 01:06:05 INFO  LibServer:34 - Binding to port 5050
@2017-10-10 01:06:05 INFO  LibServer:48 - Server started: ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5050] 11
@2017-10-10 01:06:05 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 01:06:05 INFO  String:25 - Operation:Initialize UserTable;UserTable: [[0,Rob@carleton.ca,Rob], [1,Jenny@carleton.ca,Jenny], [2,Alice@carleton.ca,Alice], [3,John@carleton.ca,John], [4,Gail@carleton.ca,Gail]]
@2017-10-10 01:06:05 INFO  String:28 - Operation:Initialize TitleTable;TitleTable: [[9781442668584,Harry Potter], [9781442616899,Percy Jackson], [9781442667181,Silence of the Lambs], [9781611687910,Lord of the Rings], [9781317594277,Atlas Shrugged]]
@2017-10-10 01:06:05 INFO  String:27 - Operation:Initialize ItemTable;ItemTable: [[0,9781442668584,1], [1,9781442616899,1], [2,9781442667181,1], [3,9781611687910,1]]
@2017-10-10 01:06:05 INFO  String:27 - Operation:Initialize LoanTable;LoanTable: [[4,9781442668584,1,2017-10-10 01:06:05,0]]
@2017-10-10 01:06:05 INFO  String:81 - Operation:Apply OutStanding Fee;Fee Info:[4,0];State:Success
@2017-10-10 01:06:05 INFO  String:91 - Operation:Initialize FeeTable;FeeTable: [[0,5], [4,0]]
@2017-10-10 01:06:05 INFO  LibClient:32 - 59832 : Connected to server: /127.0.0.1
@2017-10-10 01:06:05 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:59832] Client Socket: [59832 ]

@2017-10-10 01:06:05 INFO  LibClient:33 - 59832 : Connected to portid: 59832
@2017-10-10 01:06:05 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 01:06:05 INFO  LibServer:102 - Input from 127.0.0.1:59832 Hello
@2017-10-10 01:06:05 INFO  LibServer:119 - Output to 127.0.0.1:59832 Who Are you?Clerk or User?

@2017-10-10 01:06:05 INFO  LibServer:102 - Input from 127.0.0.1:59832 Clerk
@2017-10-10 01:06:05 INFO  LibServer:111 - Output to 127.0.0.1:59832 Please Input The Password:

@2017-10-10 01:06:05 INFO  LibServer:102 - Input from 127.0.0.1:59832 admin
@2017-10-10 01:06:05 INFO  LibServer:111 - Output to 127.0.0.1:59832 What can I do for you?Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-10 01:06:05 INFO  LibServer:102 - Input from 127.0.0.1:59832 Create title
@2017-10-10 01:06:05 INFO  LibServer:111 - Output to 127.0.0.1:59832 Please Input Title Info:'ISBN,title'

@2017-10-10 01:06:05 INFO  LibServer:102 - Input from 127.0.0.1:59832 9781442668584,Harry Potter
@2017-10-10 01:06:05 INFO  String:52 - Operation:Create New Title;Title Info:[9781442668584,Harry Potter];State:Fail;Reason:The ISBN already existed.
@2017-10-10 01:06:05 INFO  LibServer:111 - Output to 127.0.0.1:59832 The Title Already Exists!


@2017-10-10 01:06:05 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:59833] Client Socket: [59833 ]

@2017-10-10 01:06:05 INFO  LibClient:32 - 59833 : Connected to server: /127.0.0.1
@2017-10-10 01:06:05 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 01:06:05 INFO  LibClient:33 - 59833 : Connected to portid: 59833
@2017-10-10 01:06:05 INFO  LibServer:102 - Input from 127.0.0.1:59833 Hello
@2017-10-10 01:06:05 INFO  LibServer:119 - Output to 127.0.0.1:59833 Who Are you?Clerk or User?

@2017-10-10 01:06:05 INFO  LibServer:102 - Input from 127.0.0.1:59833 Clerk
@2017-10-10 01:06:05 INFO  LibServer:111 - Output to 127.0.0.1:59833 Please Input The Password:

@2017-10-10 01:06:05 INFO  LibServer:102 - Input from 127.0.0.1:59833 admin
