2017-10-10 13:13:42 INFO  LibServer:34 - Binding to port 5050
@2017-10-10 13:13:42 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 13:13:42 INFO  LibServer:48 - Server started: ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5050] 11
@2017-10-10 13:13:42 INFO  String:25 - Operation:Initialize UserTable;UserTable: [[0,Rob@carleton.ca,Rob], [1,Jenny@carleton.ca,Jenny], [2,Alice@carleton.ca,Alice], [3,John@carleton.ca,John], [4,Gail@carleton.ca,Gail]]
@2017-10-10 13:13:42 INFO  String:28 - Operation:Initialize TitleTable;TitleTable: [[9781442668584,Harry Potter], [9781442616899,Percy Jackson], [9781442667181,Silence of the Lambs], [9781611687910,Lord of the Rings], [9781317594277,Atlas Shrugged]]
@2017-10-10 13:13:42 INFO  String:27 - Operation:Initialize ItemTable;ItemTable: [[0,9781442668584,1], [1,9781442616899,1], [2,9781442667181,1], [3,9781611687910,1]]
@2017-10-10 13:13:42 INFO  String:27 - Operation:Initialize LoanTable;LoanTable: [[4,9781442668584,1,2017-10-10 01:13:42,0]]
@2017-10-10 13:13:42 INFO  String:81 - Operation:Apply OutStanding Fee;Fee Info:[4,0];State:Success
@2017-10-10 13:13:42 INFO  String:91 - Operation:Initialize FeeTable;FeeTable: [[0,5], [4,0]]
@2017-10-10 13:13:42 INFO  LibClient:32 - 62870 : Connected to server: /127.0.0.1
@2017-10-10 13:13:42 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:62870] Client Socket: [62870 ]

@2017-10-10 13:13:42 INFO  LibClient:33 - 62870 : Connected to portid: 62870
@2017-10-10 13:13:42 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62870 Hello
@2017-10-10 13:13:42 INFO  LibServer:119 - Output to 127.0.0.1:62870 Who Are you?Clerk or User?

@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62870 Clerk
@2017-10-10 13:13:42 INFO  LibServer:111 - Output to 127.0.0.1:62870 Please Input The Password:

@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62870 admin
@2017-10-10 13:13:42 INFO  LibServer:111 - Output to 127.0.0.1:62870 What can I do for you?Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62870 Delete Item
@2017-10-10 13:13:42 INFO  LibServer:111 - Output to 127.0.0.1:62870 Please Input Item Info:'ISBN,copynumber'

@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62870 1111142668584,1
@2017-10-10 13:13:42 INFO  String:119 - Operation:Delete Item;Item Info:[1111142668584,1];State:Fail;Reason:The Item Does Not Exist.
@2017-10-10 13:13:42 INFO  LibServer:111 - Output to 127.0.0.1:62870 The Item Does Not Exist!


@2017-10-10 13:13:42 INFO  LibClient:32 - 62871 : Connected to server: /127.0.0.1
@2017-10-10 13:13:42 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:62871] Client Socket: [62871 ]

@2017-10-10 13:13:42 INFO  LibClient:33 - 62871 : Connected to portid: 62871
@2017-10-10 13:13:42 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62871 Hello
@2017-10-10 13:13:42 INFO  LibServer:119 - Output to 127.0.0.1:62871 Who Are you?Clerk or User?

@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62871 Clerk
@2017-10-10 13:13:42 INFO  LibServer:111 - Output to 127.0.0.1:62871 Please Input The Password:

@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62871 admin
@2017-10-10 13:13:42 INFO  LibServer:111 - Output to 127.0.0.1:62871 What can I do for you?Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62871 Delete Item
@2017-10-10 13:13:42 INFO  LibServer:111 - Output to 127.0.0.1:62871 Please Input Item Info:'ISBN,copynumber'

@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62871 9781442668584,1
@2017-10-10 13:13:42 INFO  String:113 - Operation:Delete Item;Item Info:[9781442668584,1];State:Fail;Reason:The item is currently on loan.
@2017-10-10 13:13:42 INFO  LibServer:111 - Output to 127.0.0.1:62871 Active Loan Exists!


@2017-10-10 13:13:42 INFO  LibClient:32 - 62872 : Connected to server: /127.0.0.1
@2017-10-10 13:13:42 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:62872] Client Socket: [62872 ]

@2017-10-10 13:13:42 INFO  LibClient:33 - 62872 : Connected to portid: 62872
@2017-10-10 13:13:42 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62872 Hello
@2017-10-10 13:13:42 INFO  LibServer:119 - Output to 127.0.0.1:62872 Who Are you?Clerk or User?

@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62872 Clerk
@2017-10-10 13:13:42 INFO  LibServer:111 - Output to 127.0.0.1:62872 Please Input The Password:

@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62872 admin
@2017-10-10 13:13:42 INFO  LibServer:111 - Output to 127.0.0.1:62872 What can I do for you?Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62872 Delete Item
@2017-10-10 13:13:42 INFO  LibServer:111 - Output to 127.0.0.1:62872 Please Input Item Info:'ISBN,copynumber'

@2017-10-10 13:13:42 INFO  LibServer:102 - Input from 127.0.0.1:62872 9781611687910,1
@2017-10-10 13:13:42 INFO  String:110 - Operation:Delete Item;Item Info:[9781611687910,N/A];State:Success
@2017-10-10 13:13:42 INFO  LibServer:111 - Output to 127.0.0.1:62872 Success!

@
