2017-10-10 13:56:10 INFO  LibServer:34 - Binding to port 5050
@2017-10-10 13:56:10 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 13:56:10 INFO  LibServer:48 - Server started: ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5050] 11
@2017-10-10 13:56:10 INFO  String:25 - Operation:Initialize UserTable;UserTable: [[0,Rob@carleton.ca,Rob], [1,Jenny@carleton.ca,Jenny], [2,Alice@carleton.ca,Alice], [3,John@carleton.ca,John], [4,Gail@carleton.ca,Gail]]
@2017-10-10 13:56:10 INFO  String:28 - Operation:Initialize TitleTable;TitleTable: [[9781442668584,Harry Potter], [9781442616899,Percy Jackson], [9781442667181,Silence of the Lambs], [9781611687910,Lord of the Rings], [9781317594277,Atlas Shrugged]]
@2017-10-10 13:56:10 INFO  String:27 - Operation:Initialize ItemTable;ItemTable: [[0,9781442668584,1], [1,9781442616899,1], [2,9781442667181,1], [3,9781611687910,1]]
@2017-10-10 13:56:10 INFO  String:27 - Operation:Initialize LoanTable;LoanTable: [[4,9781442668584,1,2017-10-10 01:56:10,0]]
@2017-10-10 13:56:10 INFO  String:81 - Operation:Apply OutStanding Fee;Fee Info:[4,0];State:Success
@2017-10-10 13:56:10 INFO  String:91 - Operation:Initialize FeeTable;FeeTable: [[0,5], [4,0]]
@2017-10-10 13:56:10 INFO  LibClient:32 - 63004 : Connected to server: /127.0.0.1
@2017-10-10 13:56:10 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:63004] Client Socket: [63004 ]

@2017-10-10 13:56:10 INFO  LibClient:33 - 63004 : Connected to portid: 63004
@2017-10-10 13:56:10 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63004 Hello
@2017-10-10 13:56:10 INFO  LibServer:119 - Output to 127.0.0.1:63004 Who Are you?Clerk or User?

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63004 Clerk
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63004 Please Input The Password:

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63004 admin
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63004 What can I do for you?Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63004 Delete title
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63004 Please Input Title Info:'ISBN'

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63004 9781317594277
@2017-10-10 13:56:10 INFO  String:98 - Operation:Delete Title;Title Info:[9781317594277,Atlas Shrugged];State:Success
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63004 Success!


@2017-10-10 13:56:10 INFO  LibClient:32 - 63005 : Connected to server: /127.0.0.1
@2017-10-10 13:56:10 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:63005] Client Socket: [63005 ]

@2017-10-10 13:56:10 INFO  LibClient:33 - 63005 : Connected to portid: 63005
@2017-10-10 13:56:10 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63005 Hello
@2017-10-10 13:56:10 INFO  LibServer:119 - Output to 127.0.0.1:63005 Who Are you?Clerk or User?

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63005 Clerk
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63005 Please Input The Password:

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63005 admin
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63005 What can I do for you?Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63005 Delete title
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63005 Please Input Title Info:'ISBN'

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63005 1123456789985
@2017-10-10 13:56:10 INFO  String:105 - Operation:Delete Title;ISBN Info:[1123456789985];State:Fail;Reason:The Title Does Not Exist.
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63005 The Title Does Not Exist!


@2017-10-10 13:56:10 INFO  LibClient:32 - 63006 : Connected to server: /127.0.0.1
@2017-10-10 13:56:10 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:63006] Client Socket: [63006 ]

@2017-10-10 13:56:10 INFO  LibClient:33 - 63006 : Connected to portid: 63006
@2017-10-10 13:56:10 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63006 Hello
@2017-10-10 13:56:10 INFO  LibServer:119 - Output to 127.0.0.1:63006 Who Are you?Clerk or User?

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63006 Clerk
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63006 Please Input The Password:

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63006 admin
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63006 What can I do for you?Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63006 Delete title
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63006 Please Input Title Info:'ISBN'

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63006 9781442668584
@2017-10-10 13:56:10 INFO  String:101 - Operation:Delete Title;ISBN Info:[9781442668584];State:Fail;Reason:Active Loan Exists.
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63006 Active Loan Exists!


@2017-10-10 13:56:10 INFO  LibClient:32 - 63007 : Connected to server: /127.0.0.1
@2017-10-10 13:56:10 INFO  LibServer:72 - Client accepted : Client Address : [/127.0.0.1:63007] Client Socket: [63007 ]

@2017-10-10 13:56:10 INFO  LibClient:33 - 63007 : Connected to portid: 63007
@2017-10-10 13:56:10 INFO  LibServer:63 - Waiting for a client ...
@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63007 Hello
@2017-10-10 13:56:10 INFO  LibServer:119 - Output to 127.0.0.1:63007 Who Are you?Clerk or User?

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63007 Clerk
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63007 Please Input The Password:

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63007 admin
@2017-10-10 13:56:10 INFO  LibServer:111 - Output to 127.0.0.1:63007 What can I do for you?Menu:Create User/Title/Item,Delete User/Title/Item,Monitor System.

@2017-10-10 13:56:10 INFO  LibServer:102 - Input from 127.0.0.1:63007 Delete title
